STNAME,CTYNAME,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,AA_MALE,AA_FEMALE,H_MALE,H_FEMALE
Alabama,Autauga ,20878,21729,5237,6000,286,370,884,787
Alabama,Autauga ,1249,1117,339,344,24,20,86,60
Alabama,Autauga ,1287,1191,388,368,17,25,88,70
Alabama,Autauga ,1441,1350,442,418,18,25,94,79
Alabama,Autauga ,1341,1334,434,400,21,13,63,74
Alabama,Autauga ,1188,1142,374,346,31,13,62,50
Alabama,Autauga ,1354,1405,429,469,20,22,80,45
Alabama,Autauga ,1298,1324,379,424,20,24,66,57
Alabama,Autauga ,1355,1368,344,458,24,39,89,71
Alabama,Autauga ,1277,1387,351,465,20,44,60,71
Alabama,Autauga ,1483,1494,328,449,33,34,67,35
Alabama,Autauga ,1487,1484,321,388,15,22,46,38
Alabama,Autauga ,1543,1590,310,361,15,27,21,43
Alabama,Autauga ,1249,1403,277,359,10,19,21,24
Alabama,Autauga ,1059,1075,221,281,3,10,16,10
Alabama,Autauga ,873,1101,121,178,8,10,3,23
Alabama,Autauga ,646,896,82,133,4,8,9,15
Alabama,Autauga ,424,584,64,76,3,12,6,10
Alabama,Autauga ,324,484,33,83,0,3,7,12
Alabama,Baldwin ,94810,100388,9486,10107,932,1448,5545,4989
Alabama,Baldwin ,5206,4769,608,639,56,53,651,482
Alabama,Baldwin ,5596,5282,679,627,82,59,549,519
Alabama,Baldwin ,5964,5818,761,723,81,78,594,521
Alabama,Baldwin ,5547,5264,711,771,63,221,392,408
Alabama,Baldwin ,4621,4547,734,673,49,60,314,300
Alabama,Baldwin ,5116,5375,860,705,89,100,359,288
Alabama,Baldwin ,5225,5497,691,700,63,79,435,401
Alabama,Baldwin ,5658,5891,649,687,107,167,463,346
Alabama,Baldwin ,5594,5964,547,590,72,169,394,344
Alabama,Baldwin ,6187,6654,561,640,70,95,330,336
Alabama,Baldwin ,6193,6553,506,619,62,92,321,263
Alabama,Baldwin ,6886,7587,643,728,38,75,239,244
Alabama,Baldwin ,6706,7902,528,655,22,53,186,201
Alabama,Baldwin ,6373,7286,412,507,32,50,125,144
