FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,vaccine_doses_administered_in_state,white_pop,black_pop,asian_pop,hisp_pop,Population,pop per sq mi,democrat_votes,republican_votes,democrat_percent,republican_percent,confirmed_cases,ICU Beds,percent_smokers,percent_adults_with_obesity,high_school_graduation_rate,percent_unemployed_CHR,percent_severe_housing_problems,life_expectancy,median_household_income,percent_homeowners,percent_less_than_18_years_of_age,percent_65_and_over,percent_not_proficient_in_english,percent_rural,per_capita_income,percent_disabled,percent_institutionalized_in_group_quarters,POVERTY_PERCENT
1001,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",4630089,42607,10474,572,1671,55869,91.8,7503,19838,27.01836514,71.4368023,9843,6,18.08155718,33.3,90,3.629078861,14.66346154,76.87947717,59338,74.89462467,23.67403464,15.56266974,0.820224503,42.00216232,26168,18.4,0.9,12.1
1003,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",4630089,195198,18972,1864,10534,223234,114.6,24578,83544,22.40902999,76.17137282,36870,51,17.4890326,31,86.3615768,3.615382156,13.56620093,78.45025837,57588,73.61934319,21.60791113,20.44334975,0.543516982,42.27909911,28069,13.9,1.5,10.1
1005,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",4630089,12134,12622,110,1117,24686,31,4816,5622,45.78817266,53.45122647,3545,5,21.99998453,41.7,81.41025641,5.171384211,14.58333333,75.34193493,34382,61.39777923,20.86732848,19.4204413,1.631682519,67.7896347,17249,21.5,11,27.1
1007,Bibb,Alabama,US,32.99642064,-87.1251146,"Bibb, Alabama, US",4630089,17191,5882,46,623,22394,36.8,1986,7525,20.69828035,78.42626368,4192,0,19.11419989,37.6,83.76383764,3.971827734,10.4964539,73.57182028,46064,75.07309942,20.47767857,16.47321429,0.268210051,68.35260746,18988,14.8,8.9,20.3
1009,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",4630089,55412,1032,170,5582,57826,88.9,2640,24711,9.56937799,89.57155285,9998,6,19.20867197,33.8,93.46879536,3.511157322,10.54801164,74.1458259,50412,78.62621359,23.15352697,18.23651452,1.724519941,89.95150204,21033,14.9,1,16.3
1011,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",4630089,2689,7426,18,864,10101,17.5,3446,1146,74.70192933,24.84283546,1511,0,22.89466401,37.2,70.24793388,4.690117253,18.14345992,73.53089479,29267,75.53338875,21.07910831,16.38390215,0.440754408,51.37438153,17909,17.6,4.2,30
1013,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",4630089,10127,7770,336,289,19448,27,3965,5458,41.78962901,57.52529511,3228,7,21.76533496,43.3,81.58995816,4.790217635,13.15960912,72.9183092,37365,69.94633274,22.24593496,20.29979675,0.494155154,71.23215735,19011,19.4,1.5,21.6
1015,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",4630089,85322,22440,802,4614,113605,195.7,15216,35101,29.84524253,68.84843968,21950,24,20.61256038,38.5,92.36804565,4.652832159,13.73419126,73.03910859,45400,69.47349721,21.60977275,17.71747596,0.991376133,33.69682556,22231,20.4,2.6,17.2
1017,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",4630089,18970,12442,480,871,33254,57.4,6365,8753,41.64485737,57.26903952,5524,0,19.39292705,40.1,86.23853211,3.908091123,15.9566787,74.29107603,39917,67.7641314,20.80023799,19.52104715,0.112937633,49.14803449,21532,17.7,1.4,19.6
1019,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",4630089,24409,1116,74,449,26196,46.9,1624,10583,13.20217868,86.0336558,2971,0,17.49867379,35,94.9044586,3.570813974,13,73.99883376,42132,78.95530832,19.16871543,22.97172711,0.401639012,85.73627304,22544,21.4,1.3,15.9
