FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,vaccine_doses_administered_in_state,white_pop,black_pop,asian_pop,hisp_pop,Population,pop per sq mi,democrat_votes,republican_votes,confirmed_cases,
1001,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",4630089,85214,20948,1144,3342,55869,91.8,7503,19838,9843,
1003,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",4630089,438906,76452,5228,23170,223234,114.6,24578,83544,36870,
1005,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",4630089,55990,25612,292,2600,24686,31,4816,5622,3545,
1007,Bibb,Alabama,US,32.99642064,-87.1251146,"Bibb, Alabama, US",4630089,156836,167256,6440,11940,22394,36.8,1986,7525,4192,
1009,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",4630089,360348,10508,2496,20794,57826,88.9,2640,24711,9998,
1011,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",4630089,5378,14852,36,1728,10101,17.5,3446,1146,1511,
1013,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",4630089,1293182,100504,37576,55614,19448,27,3965,5458,3228,
1015,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",4630089,541252,111448,12200,51270,113605,195.7,15216,35101,21950,
1017,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",4630089,114730,32268,2060,22614,33254,57.4,6365,8753,5524,
1019,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",4630089,835388,82128,12476,99456,26196,46.9,1624,10583,2971,
1021,Chilton,Alabama,US,32.85044126,-86.7173256,"Chilton, Alabama, US",4630089,77354,8988,348,7272,44428,63,3073,16085,6535,
1023,Choctaw,Alabama,US,32.02227341,-88.2656443,"Choctaw, Alabama, US",4630089,44010,17020,220,1916,12589,15.2,3127,4296,855,
1025,Clarke,Alabama,US,31.68099859,-87.83548597,"Clarke, Alabama, US",4630089,255588,95488,10420,33964,23622,20.9,5755,7324,4720,
1027,Clay,Alabama,US,33.26984193,-85.85836077,"Clay, Alabama, US",4630089,1236354,130456,27736,97898,13235,23.1,1267,5601,2374,
1029,Cleburne,Alabama,US,33.67679204,-85.52005899,"Cleburne, Alabama, US",4630089,76448,1040,176,1996,14910,26.7,675,6484,2446,
1031,Coffee,Alabama,US,31.39932826,-85.98901039,"Coffee, Alabama, US",4630089,242416,48740,3160,24100,52342,73.6,5076,16899,9139,
1033,Colbert,Alabama,US,34.69847452,-87.80168544,"Colbert, Alabama, US",4630089,88880,16432,608,3578,55241,91.8,8343,19203,8715,
1035,Conecuh,Alabama,US,31.43401703,-86.99320044,"Conecuh, Alabama, US",4630089,12490,10096,44,554,12067,15.6,2966,3442,1841,
1037,Coosa,Alabama,US,32.93690146,-86.24847739,"Coosa, Alabama, US",4630089,14236,6424,24,560,10663,17.7,1796,3631,1753,
1039,Covington,Alabama,US,31.2477854,-86.45050893,"Covington, Alabama, US",4630089,85720,21152,508,2268,37049,36.6,2721,14586,6624,
1041,Crenshaw,Alabama,US,31.72941803,-86.31593104,"Crenshaw, Alabama, US",4630089,19878,6036,320,666,13772,22.8,1700,4864,2420,
