FIPS,Admin2,Province_State,Lat,Long_,Combined_Key,vaccine_doses_administered_in_state,white_pop,black_pop,asian_pop,hisp_pop,Population,pop per sq mi,democrat_votes,republican_votes,democrat_percent,republican_percent,confirmed_cases,Country_Region
1001,Autauga,Alabama,32.53952745,-86.64408227,"Autauga, Alabama, US",1728736,42607,10474,572,1671,55869,91.8,7503,19838,27.018365142239823,71.4368023046453,6595,US
1003,Baldwin,Alabama,30.72774991,-87.72207058,"Baldwin, Alabama, US",1728736,195198,18972,1864,10534,223234,114.6,24578,83544,22.409029987509005,76.17137282433283,20523,US
1005,Barbour,Alabama,31.868263,-85.3871286,"Barbour, Alabama, US",1728736,12134,12622,110,1117,24686,31.0,4816,5622,45.78817265639856,53.45122646891044,2227,US
1007,Bibb,Alabama,32.99642064,-87.1251146,"Bibb, Alabama, US",1728736,17191,5882,46,623,22394,36.8,1986,7525,20.698280354351223,78.42626367899948,2543,US
1009,Blount,Alabama,33.98210918,-86.56790593,"Blount, Alabama, US",1728736,55412,1032,170,5582,57826,88.9,2640,24711,9.569377990430622,89.5715528490648,6446,US
1011,Bullock,Alabama,32.10030533,-85.71265535,"Bullock, Alabama, US",1728736,2689,7426,18,864,10101,17.5,3446,1146,74.70192933015392,24.842835464990245,1207,US
1013,Butler,Alabama,31.75300095,-86.68057478,"Butler, Alabama, US",1728736,10127,7770,336,289,19448,27.0,3965,5458,41.78962900505902,57.52529510961214,2103,US
1015,Calhoun,Alabama,33.77483727,-85.82630386,"Calhoun, Alabama, US",1728736,85322,22440,802,4614,113605,195.7,15216,35101,29.845242531824333,68.84843967597043,14227,US
1017,Chambers,Alabama,32.91360079,-85.39072749,"Chambers, Alabama, US",1728736,18970,12442,480,871,33254,57.4,6365,8753,41.644857367181366,57.26903951845067,3489,US
1019,Cherokee,Alabama,34.17805983,-85.60638968,"Cherokee, Alabama, US",1728736,24409,1116,74,449,26196,46.9,1624,10583,13.202178684659785,86.03365580034144,1810,US
1021,Chilton,Alabama,32.85044126,-86.7173256,"Chilton, Alabama, US",1728736,38677,4494,174,3636,44428,63.0,3073,16085,15.91403417918177,83.29880890730192,4041,US
1023,Choctaw,Alabama,32.02227341,-88.2656443,"Choctaw, Alabama, US",1728736,7191,4740,14,128,12589,15.2,3127,4296,41.89442658092176,57.556270096463024,583,US
1025,Clarke,Alabama,31.68099859,-87.83548597,"Clarke, Alabama, US",1728736,12518,9756,92,310,23622,20.9,5755,7324,43.81423677198325,55.75942139322421,3458,US
1027,Clay,Alabama,33.26984193,-85.85836077,"Clay, Alabama, US",1728736,11015,1734,38,435,13235,23.1,1267,5601,18.282828282828284,80.82251082251082,1483,US
1029,Cleburne,Alabama,33.67679204,-85.52005899,"Cleburne, Alabama, US",1728736,14176,386,20,387,14910,26.7,675,6484,9.339975093399753,89.71910889719109,1454,US
1031,Coffee,Alabama,31.39932826,-85.98901039,"Coffee, Alabama, US",1728736,39669,8858,640,4171,52342,73.6,5076,16899,22.78787878787879,75.86531986531988,5387,US
1033,Colbert,Alabama,34.69847452,-87.80168544,"Colbert, Alabama, US",1728736,44440,8216,304,1789,55241,91.8,8343,19203,29.91823854263788,68.8625116545937,6175,US
1035,Conecuh,Alabama,31.43401703,-86.99320044,"Conecuh, Alabama, US",1728736,6245,5048,22,277,12067,15.6,2966,3442,46.04875019406924,53.43890700201832,1087,US
1037,Coosa,Alabama,32.93690146,-86.24847739,"Coosa, Alabama, US",1728736,7118,3212,12,280,10663,17.7,1796,3631,32.779704325606865,66.27121737543348,943,US
1039,Covington,Alabama,31.2477854,-86.45050893,"Covington, Alabama, US",1728736,31311,4276,180,687,37049,36.6,2721,14586,15.611015490533564,83.68330464716007,4043,US
1041,Crenshaw,Alabama,31.72941803,-86.31593104,"Crenshaw, Alabama, US",1728736,9939,3018,160,333,13772,22.8,1700,4864,25.691400936980507,73.50763185733716,1503,US
1043,Cullman,Alabama,34.13020303,-86.86888037,"Cullman, Alabama, US",1728736,80188,1270,448,3752,83768,109.4,4478,36880,10.699863802537571,88.12214761893384,9390,US
1045,Dale,Alabama,31.43037123,-85.61095742,"Dale, Alabama, US",1728736,36273,9580,502,3450,49172,89.6,5170,14303,26.193130003039823,72.4642820954504,4763,US
1047,Dallas,Alabama,32.32688101,-87.1086671,"Dallas, Alabama, US",1728736,10259,23880,182,429,37196,44.8,12230,5524,68.46171070309002,30.922525750111955,3516,US
1049,DeKalb,Alabama,34.45946862,-85.80782906,"DeKalb, Alabama, US",1728736,66303,1376,398,10774,71513,91.5,4281,24767,14.583049461779536,84.36776127537811,8699,US
1051,Elmore,Alabama,32.59785413,-86.14415284,"Elmore, Alabama, US",1728736,61461,16690,540,2563,81209,128.2,10367,30164,25.26687789422374,73.51693882524982,9978,US
1053,Escambia,Alabama,31.1256789,-87.15918694,"Escambia, Alabama, US",1728736,22815,11948,106,952,36633,40.5,4918,10869,30.91137649277184,68.31552482715273,3862,US
1055,Etowah,Alabama,34.04567266,-86.04051873,"Etowah, Alabama, US",1728736,82501,15084,824,4230,102268,195.2,11567,35528,24.23524974857526,74.43848474689909,13646,US
1057,Fayette,Alabama,33.72076938,-87.73886638,"Fayette, Alabama, US",1728736,13980,1854,38,335,16302,27.5,1395,7300,15.91375770020534,83.27629477526808,2063,US
1059,Franklin,Alabama,34.44235334,-87.84289505,"Franklin, Alabama, US",1728736,28757,1552,110,5606,31362,50.0,2086,10376,16.584512641119414,82.49324216886627,4186,US
