FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,vaccine_doses_administered_in_state,confirmed_cases,deaths,white_pop,black_pop,asian_pop,hisp_pop,Population
1001,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",1728736,6595,99,85214.0,20948.0,1144.0,3342.0,55869
1003,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",1728736,20523,301,438906.0,76452.0,5228.0,23170.0,223234
1005,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",1728736,2227,55,55990.0,25612.0,292.0,2600.0,24686
1007,Bibb,Alabama,US,32.99642064,-87.1251146,"Bibb, Alabama, US",1728736,2543,58,156836.0,167256.0,6440.0,11940.0,22394
1009,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",1728736,6446,131,360348.0,10508.0,2496.0,20794.0,57826
1011,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",1728736,1207,40,5378.0,14852.0,36.0,1728.0,10101
1013,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",1728736,2103,66,1293182.0,100504.0,37576.0,55614.0,19448
1015,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",1728736,14227,305,541252.0,111448.0,12200.0,51270.0,113605
1017,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",1728736,3489,117,114730.0,32268.0,2060.0,22614.0,33254
1019,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",1728736,1810,43,835388.0,82128.0,12476.0,99456.0,26196
1021,Chilton,Alabama,US,32.85044126,-86.7173256,"Chilton, Alabama, US",1728736,4041,109,77354.0,8988.0,348.0,7272.0,44428
1023,Choctaw,Alabama,US,32.02227341,-88.2656443,"Choctaw, Alabama, US",1728736,583,24,44010.0,17020.0,220.0,1916.0,12589
1025,Clarke,Alabama,US,31.68099859,-87.83548597,"Clarke, Alabama, US",1728736,3458,59,255588.0,95488.0,10420.0,33964.0,23622
1027,Clay,Alabama,US,33.26984193,-85.85836077,"Clay, Alabama, US",1728736,1483,54,1236354.0,130456.0,27736.0,97898.0,13235
1029,Cleburne,Alabama,US,33.67679204,-85.52005899,"Cleburne, Alabama, US",1728736,1454,41,76448.0,1040.0,176.0,1996.0,14910
1031,Coffee,Alabama,US,31.39932826,-85.98901039,"Coffee, Alabama, US",1728736,5387,110,242416.0,48740.0,3160.0,24100.0,52342
1033,Colbert,Alabama,US,34.69847452,-87.80168544,"Colbert, Alabama, US",1728736,6175,126,88880.0,16432.0,608.0,3578.0,55241
1035,Conecuh,Alabama,US,31.43401703,-86.99320044,"Conecuh, Alabama, US",1728736,1087,26,12490.0,10096.0,44.0,554.0,12067
1037,Coosa,Alabama,US,32.93690146,-86.24847739,"Coosa, Alabama, US",1728736,943,24,14236.0,6424.0,24.0,560.0,10663
1039,Covington,Alabama,US,31.2477854,-86.45050893,"Covington, Alabama, US",1728736,4043,111,85720.0,21152.0,508.0,2268.0,37049
1041,Crenshaw,Alabama,US,31.72941803,-86.31593104,"Crenshaw, Alabama, US",1728736,1503,57,19878.0,6036.0,320.0,666.0,13772
