FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,vaccine_doses_administered_in_state,white_pop,black_pop,asian_pop,hisp_pop,Population,pop per sq mi,democrat_votes,republican_votes,confirmed_cases,deaths
1001,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",1728736,42607,10474,572,1671,55869,91.8,7503,19838,43,3
1003,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",1728736,195198,18972,1864,10534,223234,114.6,24578,83544,180,4
1005,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",1728736,12134,12622,110,1117,24686,31.0,4816,5622,42,1
1007,Bibb,Alabama,US,32.99642064,-87.1251146,"Bibb, Alabama, US",1728736,17191,5882,46,623,22394,36.8,1986,7525,41,0
1009,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",1728736,55412,1032,170,5582,57826,88.9,2640,24711,41,0
1011,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",1728736,2689,7426,18,864,10101,17.5,3446,1146,14,0
1013,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",1728736,10127,7770,336,289,19448,27.0,3965,5458,68,1
1015,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",1728736,85322,22440,802,4614,113605,195.7,15216,35101,97,3
1017,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",1728736,18970,12442,480,871,33254,57.4,6365,8753,295,21
1019,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",1728736,24409,1116,74,449,26196,46.9,1624,10583,16,0
1021,Chilton,Alabama,US,32.85044126,-86.7173256,"Chilton, Alabama, US",1728736,38677,4494,174,3636,44428,63.0,3073,16085,55,1
1023,Choctaw,Alabama,US,32.02227341,-88.2656443,"Choctaw, Alabama, US",1728736,7191,4740,14,128,12589,15.2,3127,4296,50,0
1025,Clarke,Alabama,US,31.68099859,-87.83548597,"Clarke, Alabama, US",1728736,12518,9756,92,310,23622,20.9,5755,7324,33,1
1027,Clay,Alabama,US,33.26984193,-85.85836077,"Clay, Alabama, US",1728736,11015,1734,38,435,13235,23.1,1267,5601,20,1
1029,Cleburne,Alabama,US,33.67679204,-85.52005899,"Cleburne, Alabama, US",1728736,14176,386,20,387,14910,26.7,675,6484,12,1
1031,Coffee,Alabama,US,31.39932826,-85.98901039,"Coffee, Alabama, US",1728736,39669,8858,640,4171,52342,73.6,5076,16899,116,0
