year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2020,ALABAMA,AL,AUTAUGA,1001,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,7503,27770,20210622,TOTAL
2020,ALABAMA,AL,AUTAUGA,1001,PRESIDENT,DONALD J TRUMP,REPUBLICAN,19838,27770,20210622,TOTAL
2020,ALABAMA,AL,BALDWIN,1003,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,24578,109679,20210622,TOTAL
2020,ALABAMA,AL,BALDWIN,1003,PRESIDENT,DONALD J TRUMP,REPUBLICAN,83544,109679,20210622,TOTAL
2020,ALABAMA,AL,BARBOUR,1005,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4816,10518,20210622,TOTAL
2020,ALABAMA,AL,BARBOUR,1005,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5622,10518,20210622,TOTAL
2020,ALABAMA,AL,BIBB,1007,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1986,9595,20210622,TOTAL
2020,ALABAMA,AL,BIBB,1007,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7525,9595,20210622,TOTAL
2020,ALABAMA,AL,BLOUNT,1009,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2640,27588,20210622,TOTAL
2020,ALABAMA,AL,BLOUNT,1009,PRESIDENT,DONALD J TRUMP,REPUBLICAN,24711,27588,20210622,TOTAL
2020,ALABAMA,AL,BULLOCK,1011,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3446,4613,20210622,TOTAL
2020,ALABAMA,AL,BULLOCK,1011,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1146,4613,20210622,TOTAL
2020,ALABAMA,AL,BUTLER,1013,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3965,9488,20210622,TOTAL
2020,ALABAMA,AL,BUTLER,1013,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5458,9488,20210622,TOTAL
2020,ALABAMA,AL,CALHOUN,1015,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,15216,50983,20210622,TOTAL
2020,ALABAMA,AL,CALHOUN,1015,PRESIDENT,DONALD J TRUMP,REPUBLICAN,35101,50983,20210622,TOTAL
2020,ALABAMA,AL,CHAMBERS,1017,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,6365,15284,20210622,TOTAL
