,match_col
0,Alabama
1,Autauga County
2,Baldwin County
3,Barbour County
4,Bibb County
5,Blount County
6,Bullock County
7,Butler County
8,Calhoun County
9,Chambers County
10,Cherokee County
11,Chilton County
12,Choctaw County
13,Clarke County
14,Clay County
15,Cleburne County
16,Coffee County
17,Colbert County
18,Conecuh County
19,Coosa County
20,Covington County
21,Crenshaw County
22,Cullman County
23,Dale County
24,Dallas County
25,DeKalb County
26,Elmore County
27,Escambia County
28,Etowah County
29,Fayette County
30,Franklin County
31,Geneva County
32,Greene County
33,Hale County
34,Henry County
35,Houston County
36,Jackson County
37,Jefferson County
38,Lamar County
39,Lauderdale County
40,Lawrence County
41,Lee County
42,Limestone County
43,Lowndes County
44,Macon County
45,Madison County
46,Marengo County
47,Marion County
48,Marshall County
49,Mobile County
50,Monroe County
51,Montgomery County
52,Morgan County
53,Perry County
54,Pickens County
55,Pike County
56,Randolph County
57,Russell County
58,St. Clair County
59,Shelby County
60,Sumter County
61,Talladega County
62,Tallapoosa County
63,Tuscaloosa County
64,Walker County
65,Washington County
66,Wilcox County
67,Winston County
68,Alaska
69,Aleutians East Borough
70,Aleutians West Census Area
71,Anchorage Municipality
72,Bethel Census Area
73,Bristol Bay Borough
74,Chugach Census Area
75,Copper River Census Area
76,Denali Borough
77,Dillingham Census Area
78,Fairbanks North Star Borough
79,Haines Borough
80,Hoonah-Angoon Census Area
81,Juneau City and Borough
82,Kenai Peninsula Borough
83,Ketchikan Gateway Borough
84,Kodiak Island Borough
85,Kusilvak Census Area
86,Lake and Peninsula Borough
87,Matanuska-Susitna Borough
88,Nome Census Area
89,North Slope Borough
90,Northwest Arctic Borough
91,Petersburg Borough
92,Prince of Wales-Hyder Census Area
93,Sitka City and Borough
94,Skagway Municipality
95,Southeast Fairbanks Census Area
96,Wrangell City and Borough
97,Yakutat City and Borough
98,Yukon-Koyukuk Census Area
99,Arizona
100,Apache County
101,Cochise County
102,Coconino County
103,Gila County
104,Graham County
105,Greenlee County
106,La Paz County
107,Maricopa County
108,Mohave County
109,Navajo County
110,Pima County
111,Pinal County
112,Santa Cruz County
113,Yavapai County
114,Yuma County
115,Arkansas
116,Arkansas County
117,Ashley County
118,Baxter County
119,Benton County
120,Boone County
121,Bradley County
122,Calhoun County
123,Carroll County
124,Chicot County
125,Clark County
126,Clay County
127,Cleburne County
128,Cleveland County
129,Columbia County
130,Conway County
131,Craighead County
132,Crawford County
133,Crittenden County
134,Cross County
135,Dallas County
136,Desha County
137,Drew County
138,Faulkner County
139,Franklin County
140,Fulton County
141,Garland County
142,Grant County
143,Greene County
144,Hempstead County
145,Hot Spring County
146,Howard County
147,Independence County
148,Izard County
149,Jackson County
150,Jefferson County
151,Johnson County
152,Lafayette County
153,Lawrence County
154,Lee County
155,Lincoln County
156,Little River County
157,Logan County
158,Lonoke County
159,Madison County
160,Marion County
161,Miller County
162,Mississippi County
163,Monroe County
164,Montgomery County
165,Nevada County
166,Newton County
167,Ouachita County
168,Perry County
169,Phillips County
170,Pike County
171,Poinsett County
172,Polk County
173,Pope County
174,Prairie County
175,Pulaski County
176,Randolph County
177,St. Francis County
178,Saline County
179,Scott County
180,Searcy County
181,Sebastian County
182,Sevier County
183,Sharp County
184,Stone County
185,Union County
186,Van Buren County
187,Washington County
188,White County
189,Woodruff County
190,Yell County
191,California
192,Alameda County
193,Alpine County
194,Amador County
195,Butte County
196,Calaveras County
197,Colusa County
198,Contra Costa County
199,Del Norte County
200,El Dorado County
201,Fresno County
202,Glenn County
203,Humboldt County
204,Imperial County
205,Inyo County
206,Kern County
207,Kings County
208,Lake County
209,Lassen County
210,Los Angeles County
211,Madera County
212,Marin County
213,Mariposa County
214,Mendocino County
215,Merced County
216,Modoc County
217,Mono County
218,Monterey County
219,Napa County
220,Nevada County
221,Orange County
222,Placer County
223,Plumas County
224,Riverside County
225,Sacramento County
226,San Benito County
227,San Bernardino County
228,San Diego County
229,San Francisco County
230,San Joaquin County
231,San Luis Obispo County
232,San Mateo County
233,Santa Barbara County
234,Santa Clara County
235,Santa Cruz County
236,Shasta County
237,Sierra County
238,Siskiyou County
239,Solano County
240,Sonoma County
241,Stanislaus County
242,Sutter County
243,Tehama County
244,Trinity County
245,Tulare County
246,Tuolumne County
247,Ventura County
248,Yolo County
249,Yuba County
250,Colorado
251,Adams County
252,Alamosa County
253,Arapahoe County
254,Archuleta County
255,Baca County
256,Bent County
257,Boulder County
258,Broomfield County
259,Chaffee County
260,Cheyenne County
261,Clear Creek County
262,Conejos County
263,Costilla County
264,Crowley County
265,Custer County
266,Delta County
267,Denver County
268,Dolores County
269,Douglas County
270,Eagle County
271,Elbert County
272,El Paso County
273,Fremont County
274,Garfield County
275,Gilpin County
276,Grand County
277,Gunnison County
278,Hinsdale County
279,Huerfano County
280,Jackson County
281,Jefferson County
282,Kiowa County
283,Kit Carson County
284,Lake County
285,La Plata County
286,Larimer County
287,Las Animas County
288,Lincoln County
289,Logan County
290,Mesa County
291,Mineral County
292,Moffat County
293,Montezuma County
294,Montrose County
295,Morgan County
296,Otero County
297,Ouray County
298,Park County
299,Phillips County
300,Pitkin County
301,Prowers County
302,Pueblo County
303,Rio Blanco County
304,Rio Grande County
305,Routt County
306,Saguache County
307,San Juan County
308,San Miguel County
309,Sedgwick County
310,Summit County
311,Teller County
312,Washington County
313,Weld County
314,Yuma County
315,Connecticut
316,Fairfield County
317,Hartford County
318,Litchfield County
319,Middlesex County
320,New Haven County
321,New London County
322,Tolland County
323,Windham County
324,Delaware
325,Kent County
326,New Castle County
327,Sussex County
328,District of Columbia
