State,County,ICU Beds
Alabama,Autauga,6
Alabama,Baldwin,51
Alabama,Barbour,5
Alabama,Bibb,0
Alabama,Blount,6
Alabama,Bullock,0
Alabama,Butler,7
Alabama,Calhoun,24
Alabama,Chambers,0
Alabama,Cherokee,0
Alabama,Chilton,6
Alabama,Choctaw,0
Alabama,Clarke,0
Alabama,Clay,4
Alabama,Cleburne,0
Alabama,Coffee,7
Alabama,Colbert,22
Alabama,Conecuh,0
Alabama,Coosa,0
Alabama,Covington,13
Alabama,Crenshaw,0
Alabama,Cullman,12
Alabama,Dale,6
Alabama,Dallas,18
Alabama,DeKalb,12
Alabama,Elmore,5
Alabama,Escambia,14
Alabama,Etowah,56
Alabama,Fayette,12
Alabama,Franklin,7
Alabama,Geneva,6
Alabama,Greene,0
Alabama,Hale,0
Alabama,Henry,0
Alabama,Houston,66
Alabama,Jackson,10
Alabama,Jefferson,471
Alabama,Lamar,0
Alabama,Lauderdale,48
Alabama,Lawrence,6
Alabama,Lee,28
Alabama,Limestone,10
Alabama,Lowndes,0
Alabama,Macon,0
Alabama,Madison,100
Alabama,Marengo,5
Alabama,Marion,4
Alabama,Marshall,20
Alabama,Mobile,157
Alabama,Monroe,8
Alabama,Montgomery,88
Alabama,Morgan,34
Alabama,Perry,0
Alabama,Pickens,4
Alabama,Pike,9
Alabama,Randolph,0
Alabama,Russell,8
Alabama,St. Clair,6
Alabama,Shelby,32
Alabama,Sumter,0
Alabama,Talladega,14
Alabama,Tallapoosa,6
Alabama,Tuscaloosa,84
Alabama,Walker,12
Alabama,Washington,0
Alabama,Wilcox,0
Alabama,Winston,4
Alaska,Aleutians East,0
Alaska,Aleutians West,0
Alaska,Anchorage,73
Alaska,Bethel,0
Alaska,Bristol Bay,0
Alaska,Denali,0
Alaska,Dillingham,0
Alaska,Fairbanks North Star,13
Alaska,Haines,0
Alaska,Hoonah-Angoon,0
Alaska,Juneau,9
Alaska,Kenai Peninsula,6
Alaska,Ketchikan Gateway,4
Alaska,Kodiak Island Borough,0
Alaska,Kusilvak,0
Alaska,Lake and Peninsula,0
Alaska,Matanuska-Susitna,14
Alaska,Nome,0
Alaska,North Slope Borough,0
Alaska,Northwest Arctic Borough,0
Alaska,Petersburg Borough,0
Alaska,Prince of Wales-Hyder,0
Alaska,Sitka Borough,0
Alaska,Skagway Municipality,0
Alaska,Southeast Fairbanks ,0
