STATE,COUNTY,fips,STNAME,CTYNAME,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,AA_MALE,AA_FEMALE,H_MALE,H_FEMALE,white_pop,asian_pop,black_pop,hisp_pop
1,1,1001,Alabama,Autauga County,20878,21729,5237,6000,286,370,884,787,42607,572,10474,1671
1,3,1003,Alabama,Baldwin County,94810,100388,9486,10107,932,1448,5545,4989,195198,1864,18972,10534
1,5,1005,Alabama,Barbour County,6389,5745,6311,5595,55,61,629,488,12134,110,12622,1117
1,7,1007,Alabama,Bibb County,8766,8425,2941,1822,23,25,343,280,17191,46,5882,623
1,9,1009,Alabama,Blount County,27258,28154,516,462,85,100,2950,2632,55412,170,1032,5582
1,11,1011,Alabama,Bullock County,1629,1060,3713,3384,9,12,449,415,2689,18,7426,864
1,13,1013,Alabama,Butler County,4829,5298,3885,4862,168,111,153,136,10127,336,7770,289
1,15,1015,Alabama,Calhoun County,41342,43980,11220,12993,401,623,2358,2256,85322,802,22440,4614
1,17,1017,Alabama,Chambers County,9157,9813,6221,7144,240,134,472,399,18970,480,12442,871
1,19,1019,Alabama,Cherokee County,12033,12376,558,515,37,66,229,220,24409,74,1116,449
1,21,1021,Alabama,Chilton County,18965,19712,2247,2349,87,130,1990,1646,38677,174,4494,3636
1,23,1023,Alabama,Choctaw County,3499,3692,2370,2885,7,18,55,73,7191,14,4740,128
1,25,1025,Alabama,Clarke County,6057,6461,4878,5757,46,57,162,148,12518,92,9756,310
1,27,1027,Alabama,Clay County,5400,5615,867,957,19,19,231,204,11015,38,1734,435
1,29,1029,Alabama,Cleburne County,6999,7177,193,231,10,23,212,175,14176,20,386,387
1,31,1031,Alabama,Coffee County,19647,20022,4429,4787,320,558,2189,1982,39669,640,8858,4171
1,33,1033,Alabama,Colbert County,21424,23016,4108,4851,152,222,925,864,44440,304,8216,1789
1,35,1035,Alabama,Conecuh County,3103,3142,2524,3036,11,17,150,127,6245,22,5048,277
1,37,1037,Alabama,Coosa County,3604,3514,1606,1688,6,12,152,128,7118,12,3212,280
1,39,1039,Alabama,Covington County,15234,16077,2138,2500,90,96,342,345,31311,180,4276,687
1,41,1041,Alabama,Crenshaw County,4895,5044,1509,1780,80,72,185,148,9939,160,3018,333
1,43,1043,Alabama,Cullman County,39626,40562,635,521,224,383,1924,1828,80188,448,1270,3752
1,45,1045,Alabama,Dale County,18256,18017,4790,5524,251,462,1831,1619,36273,502,9580,3450
1,47,1047,Alabama,Dallas County,4910,5349,11940,14360,91,76,237,192,10259,182,23880,429
1,49,1049,Alabama,DeKalb County,32870,33433,688,652,199,172,5715,5059,66303,398,1376,10774
1,51,1051,Alabama,Elmore County,29676,31785,8345,8834,270,340,1289,1274,61461,540,16690,2563
1,53,1053,Alabama,Escambia County,11261,11554,5974,5476,53,69,530,422,22815,106,11948,952
1,55,1055,Alabama,Etowah County,40115,42386,7542,8560,412,429,2225,2005,82501,824,15084,4230
1,57,1057,Alabama,Fayette County,6817,7163,927,974,19,59,172,163,13980,38,1854,335
1,59,1059,Alabama,Franklin County,14388,14369,776,597,55,59,3153,2453,28757,110,1552,5606
1,61,1061,Alabama,Geneva County,11187,11708,1181,1264,44,48,584,511,22895,88,2362,1095
1,63,1063,Alabama,Greene County,735,765,3033,3449,11,12,73,66,1500,22,6066,139
1,65,1065,Alabama,Hale County,2956,3007,3909,4591,19,25,111,98,5963,38,7818,209
1,67,1067,Alabama,Henry County,5992,6323,2097,2357,33,40,239,224,12315,66,4194,463
1,69,1069,Alabama,Houston County,35314,37558,13435,15541,477,660,1920,1711,72872,954,26870,3631
1,71,1071,Alabama,Jackson County,23189,23984,893,910,132,169,832,752,47173,264,1786,1584
1,73,1073,Alabama,Jefferson County,169820,179696,130550,155711,5599,6187,14247,12626,349516,11198,261100,26873
1,75,1075,Alabama,Lamar County,5940,6143,673,753,7,8,145,118,12083,14,1346,263
1,77,1077,Alabama,Lauderdale County,38812,41821,4273,5016,359,399,1313,1339,80633,718,8546,2652
1,79,1079,Alabama,Lawrence County,12596,13161,1686,1896,33,40,403,376,25757,66,3372,779
1,81,1081,Alabama,Lee County,58022,58389,17413,20325,3614,3246,3217,2874,116411,7228,34826,6091
1,83,1083,Alabama,Limestone County,39932,40189,7118,6644,716,947,3133,3016,80121,1432,14236,6149
1,85,1085,Alabama,Lowndes County,1258,1269,3234,3809,24,23,85,96,2527,48,6468,181
1,87,1087,Alabama,Macon County,1579,1551,6442,8080,71,37,188,155,3130,142,12884,343
1,89,1089,Alabama,Madison County,128106,128722,43203,49506,4532,5446,9959,9393,256828,9064,86406,19352
1,91,1091,Alabama,Marengo County,4275,4518,4403,5335,25,32,275,253,8793,50,8806,528
1,93,1093,Alabama,Marion County,13657,14282,664,483,41,57,434,366,27939,82,1328,800
1,95,1095,Alabama,Marshall County,44023,45791,1766,1312,287,396,7706,6566,89814,574,3532,14272
1,97,1097,Alabama,Mobile County,118447,125398,68501,81208,3993,4566,6373,6070,243845,7986,137002,12443
1,99,1099,Alabama,Monroe County,5637,5840,3857,4639,51,45,165,182,11477,102,7714,347
1,101,1101,Alabama,Montgomery County,39387,41035,61404,72952,3607,3817,4344,4000,80422,7214,122808,8344
1,103,1103,Alabama,Morgan County,48936,50178,7537,8128,356,463,5660,4806,99114,712,15074,10466
1,105,1105,Alabama,Perry County,1305,1393,2764,3299,42,14,69,75,2698,84,5528,144
1,107,1107,Alabama,Pickens County,5985,5583,3798,4167,33,31,666,378,11568,66,7596,1044
1,109,1109,Alabama,Pike County,9410,9626,5714,6815,332,288,424,378,19036,664,11428,802
1,111,1111,Alabama,Randolph County,8724,8995,2060,2310,43,61,358,324,17719,86,4120,682
1,113,1113,Alabama,Russell County,14195,14751,12317,14047,183,329,1712,1666,28946,366,24634,3378
1,115,1115,Alabama,St. Clair County,38585,39724,4535,4115,374,429,1093,1092,78309,748,9070,2185
1,117,1117,Alabama,Shelby County,87513,92176,13458,15539,2202,2722,6469,6166,179689,4404,26916,12635
1,119,1119,Alabama,Sumter County,1517,1670,4026,4847,93,145,78,71,3187,186,8052,149
1,121,1121,Alabama,Talladega County,25080,26162,12244,14167,246,310,1112,801,51242,492,24488,1913
1,123,1123,Alabama,Tallapoosa County,13968,14504,5102,5799,104,132,558,463,28472,208,10204,1021
1,125,1125,Alabama,Tuscaloosa County,66468,67973,30731,37134,1721,1669,4421,3887,134441,3442,61462,8308
1,127,1127,Alabama,Walker County,28171,29589,1845,2089,174,190,923,758,57760,348,3690,1681
1,129,1129,Alabama,Washington County,5336,5440,1812,1992,153,34,138,126,10776,306,3624,264
1,131,1131,Alabama,Wilcox County,1418,1450,3433,3938,12,9,80,69,2868,24,6866,149
1,133,1133,Alabama,Winston County,11129,11533,132,104,30,55,413,368,22662,60,264,781
