STATE,COUNTY,fips,STNAME,CTYNAME,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,AA_MALE,AA_FEMALE,H_MALE,H_FEMALE
1,1,1001,Alabama,Autauga County,20878,21729,5237,6000,286,370,884,787
1,3,1003,Alabama,Baldwin County,94810,100388,9486,10107,932,1448,5545,4989
1,5,1005,Alabama,Barbour County,6389,5745,6311,5595,55,61,629,488
1,7,1007,Alabama,Bibb County,8766,8425,2941,1822,23,25,343,280
1,9,1009,Alabama,Blount County,27258,28154,516,462,85,100,2950,2632
1,11,1011,Alabama,Bullock County,1629,1060,3713,3384,9,12,449,415
1,13,1013,Alabama,Butler County,4829,5298,3885,4862,168,111,153,136
1,15,1015,Alabama,Calhoun County,41342,43980,11220,12993,401,623,2358,2256
1,17,1017,Alabama,Chambers County,9157,9813,6221,7144,240,134,472,399
1,19,1019,Alabama,Cherokee County,12033,12376,558,515,37,66,229,220
1,21,1021,Alabama,Chilton County,18965,19712,2247,2349,87,130,1990,1646
1,23,1023,Alabama,Choctaw County,3499,3692,2370,2885,7,18,55,73
1,25,1025,Alabama,Clarke County,6057,6461,4878,5757,46,57,162,148
1,27,1027,Alabama,Clay County,5400,5615,867,957,19,19,231,204
1,29,1029,Alabama,Cleburne County,6999,7177,193,231,10,23,212,175
1,31,1031,Alabama,Coffee County,19647,20022,4429,4787,320,558,2189,1982
1,33,1033,Alabama,Colbert County,21424,23016,4108,4851,152,222,925,864
1,35,1035,Alabama,Conecuh County,3103,3142,2524,3036,11,17,150,127
1,37,1037,Alabama,Coosa County,3604,3514,1606,1688,6,12,152,128
1,39,1039,Alabama,Covington County,15234,16077,2138,2500,90,96,342,345
1,41,1041,Alabama,Crenshaw County,4895,5044,1509,1780,80,72,185,148
1,43,1043,Alabama,Cullman County,39626,40562,635,521,224,383,1924,1828
1,45,1045,Alabama,Dale County,18256,18017,4790,5524,251,462,1831,1619
1,47,1047,Alabama,Dallas County,4910,5349,11940,14360,91,76,237,192
1,49,1049,Alabama,DeKalb County,32870,33433,688,652,199,172,5715,5059
1,51,1051,Alabama,Elmore County,29676,31785,8345,8834,270,340,1289,1274
1,53,1053,Alabama,Escambia County,11261,11554,5974,5476,53,69,530,422
1,55,1055,Alabama,Etowah County,40115,42386,7542,8560,412,429,2225,2005
1,57,1057,Alabama,Fayette County,6817,7163,927,974,19,59,172,163
1,59,1059,Alabama,Franklin County,14388,14369,776,597,55,59,3153,2453
1,61,1061,Alabama,Geneva County,11187,11708,1181,1264,44,48,584,511
1,63,1063,Alabama,Greene County,735,765,3033,3449,11,12,73,66
1,65,1065,Alabama,Hale County,2956,3007,3909,4591,19,25,111,98
1,67,1067,Alabama,Henry County,5992,6323,2097,2357,33,40,239,224
1,69,1069,Alabama,Houston County,35314,37558,13435,15541,477,660,1920,1711
1,71,1071,Alabama,Jackson County,23189,23984,893,910,132,169,832,752
1,73,1073,Alabama,Jefferson County,169820,179696,130550,155711,5599,6187,14247,12626
